,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
375,Bozeman,1,US,1559452867,66,45.68,-111.04,59.0,9.17
376,Hambantota,75,LK,1559452904,70,6.12,81.12,89.6,18.34
377,Morant Bay,20,JM,1559452697,74,17.88,-76.41,80.6,6.93
378,Huicungo,3,PE,1559452906,61,-7.28,-76.8,69.49,3.44
379,Naantali,90,FI,1559452908,93,60.45,22.03,50.0,8.05
380,Viedma,0,AR,1559452909,58,-40.81,-62.99,54.19,15.68
381,Bereda,75,ES,1559452910,100,43.27,-7.54,57.2,3.67
382,Ilulissat,31,GL,1559452912,80,69.22,-51.1,33.8,3.36
383,Ouegoa,87,NC,1559452913,71,-20.34,164.44,75.25,18.61
384,Salcininkai,0,LT,1559452915,77,54.3,25.38,68.0,9.17
385,Paamiut,3,GL,1559452916,94,61.99,-49.67,36.01,10.33
386,Vestmanna,93,FO,1559452917,87,62.16,-7.17,44.6,17.22
387,Kirakira,100,SB,1559452919,78,-10.46,161.92,82.27,9.57
388,Ulaangom,41,MN,1559452920,21,49.98,92.07,73.81,8.1
389,Jati,0,PK,1559452921,29,24.35,68.27,103.69,19.24
390,Otradnoye,75,RU,1559452923,71,59.77,30.8,57.99,8.95
391,Ancud,75,CL,1559452924,100,-41.87,-73.83,50.0,13.87
392,Suntar,6,RU,1559452926,32,62.16,117.65,65.89,8.01
393,Riberalta,69,BO,1559452927,90,-11.0,-66.08,73.45,1.59
394,Aswan,0,EG,1559452928,18,24.09,32.9,87.8,5.82
395,Lata,70,IN,1559452929,57,30.78,78.62,47.53,9.95
396,Carutapera,76,BR,1559452931,92,-1.2,-46.02,77.05,4.83
397,Ceres,0,AR,1559452932,94,-29.88,-61.95,51.31,4.45
398,Havre-Saint-Pierre,90,CA,1559452933,93,50.23,-63.6,41.0,11.41
399,Danville,9,US,1559452935,100,36.59,-79.4,68.0,3.98
400,Almendralejo,0,ES,1559452936,45,38.68,-6.41,68.0,3.36
401,Rocha,1,UY,1559452937,90,-34.48,-54.34,48.07,5.46
402,Batemans Bay,2,AU,1559452939,68,-35.71,150.18,63.0,1.99
403,Vanavara,77,RU,1559452940,50,60.35,102.28,55.99,6.22
404,Sao Filipe,31,CV,1559452941,85,14.9,-24.5,72.55,15.43
405,Kulachi,0,PK,1559452943,8,31.93,70.46,101.53,3.96
406,Hanko,96,FI,1559452944,96,59.83,22.95,53.01,8.01
407,Nouadhibou,75,MR,1559452945,93,20.93,-17.03,64.4,14.99
408,Alice Springs,41,AU,1559452946,45,-23.7,133.88,62.6,12.75
409,Fershampenuaz,3,RU,1559453065,50,53.52,59.82,75.79,14.14
410,Meulaboh,100,ID,1559452865,70,4.14,96.13,84.07,6.67
411,Smidovich,93,RU,1559453068,71,48.6,133.81,65.53,7.0
412,Nemuro,20,JP,1559453070,56,43.32,145.57,71.6,4.7
413,Sur,7,OM,1559453071,17,22.57,59.53,103.87,8.84
414,Saint Anthony,1,US,1559453073,58,43.97,-111.68,59.0,5.68
415,Manadhoo,99,MV,1559453075,75,5.77,73.38,85.33,9.44
416,Maryborough,18,AU,1559453077,88,-25.54,152.7,65.89,3.15
417,Sterling,75,US,1559453079,73,39.0,-77.4,72.0,8.05
418,Coihaique,90,CL,1559452906,100,-45.58,-72.07,37.4,6.93
419,Bossangoa,100,CF,1559453081,84,6.5,17.45,73.09,7.76
420,Nouakchott,40,MR,1559453083,88,18.08,-15.98,68.0,10.29
421,Shasta Lake,16,US,1559453084,93,40.68,-122.36,75.2,6.4
422,Matamoros,1,US,1559453085,88,25.87,-97.51,82.4,6.93
423,Binzhou,0,CN,1559453087,25,37.38,117.96,95.0,5.99
424,Ulagan,96,RU,1559453088,87,50.63,87.96,44.83,5.84
425,Andapa,67,MG,1559453090,83,-14.66,49.65,66.43,2.77
426,Minot,1,US,1559453091,47,48.23,-101.3,60.01,8.05
427,Mangan,3,IN,1559453092,26,27.5,88.54,74.53,4.94
428,Muli,0,IN,1559453094,33,22.62,71.45,100.09,15.99
429,Elko,1,US,1559453095,76,40.83,-115.76,54.0,4.7
430,San Vicente,20,SV,1559453097,94,13.64,-88.78,80.6,2.24
431,Damaturu,94,NG,1559453099,44,11.75,11.96,88.21,12.17
432,San Joaquin,100,PH,1559453100,51,10.59,122.14,95.77,1.97
433,Aksarka,99,RU,1559453101,54,66.56,67.8,53.11,14.2
434,Carauari,13,BR,1559453103,94,-4.88,-66.9,73.99,1.25
435,Nancha,81,CN,1559453104,87,47.14,129.26,59.23,7.14
436,Kvareli,2,GE,1559453106,32,41.95,45.82,81.37,4.27
437,Pamplona,0,ES,1559453049,87,42.82,-1.64,62.01,1.12
438,Opalikha,40,RU,1559453109,68,55.82,37.26,66.0,11.18
439,Ixtapa,75,MX,1559453110,83,20.71,-105.21,77.0,9.17
440,Douentza,100,ML,1559453111,44,15.01,-2.95,89.29,8.05
441,Kuna,58,US,1559452919,63,43.49,-116.42,71.6,2.21
442,Mount Isa,0,AU,1559453114,19,-20.73,139.49,71.6,12.75
443,Constitucion,100,MX,1559453115,64,23.99,-104.67,64.99,3.0
444,Gemena,93,CD,1559453116,94,3.25,19.78,72.91,2.8
445,Odienne,100,CI,1559453118,94,9.51,-7.57,72.55,1.99
446,Vanimo,78,PG,1559453119,74,-2.67,141.3,85.51,18.23
447,San Patricio,12,PY,1559453120,98,-26.98,-56.83,56.53,5.21
448,Moose Factory,1,CA,1559453122,81,51.26,-80.61,42.8,9.17
449,Ha Tinh,100,VN,1559453123,67,18.33,105.9,86.95,5.26
450,Shache,65,CN,1559453124,11,38.42,77.24,91.09,7.29
451,Nueva Gorgona,100,PA,1559453126,95,8.56,-79.88,78.01,1.12
452,Vesyegonsk,100,RU,1559453127,48,58.67,37.27,63.73,11.25
453,Mayskiy,18,RU,1559453128,57,43.63,44.06,75.2,3.38
454,Bilma,55,NE,1559453129,24,18.69,12.92,88.39,11.61
455,Waltershausen,0,DE,1559453131,77,50.9,10.57,68.0,9.17
456,Half Moon Bay,90,US,1559453132,93,37.46,-122.43,62.6,9.17
457,Naze,100,NG,1559453133,95,5.43,7.07,73.99,2.82
458,Merrill,75,US,1559453135,72,42.03,-121.6,62.6,9.17
459,Payyannur,40,IN,1559453136,89,12.1,75.2,86.0,3.36
460,Yaan,100,NG,1559453137,95,7.38,8.57,74.71,3.56
461,Kannur,40,IN,1559453139,89,11.88,75.37,86.0,3.36
462,Karagay,0,RU,1559453140,38,58.27,54.93,62.11,10.04
463,Thunder Bay,5,CA,1559453141,49,48.41,-89.26,46.4,5.82
464,Knysna,75,ZA,1559453142,82,-34.04,23.05,57.2,6.93
465,El Alto,40,BO,1559453144,86,-16.5,-68.19,32.0,5.82
466,Lapy,16,PL,1559453145,58,52.99,22.88,82.0,6.33
467,Te Anau,21,NZ,1559453146,94,-45.41,167.72,33.31,0.18
468,Vardo,90,US,1559453148,77,39.62,-77.74,66.99,4.7
469,Aasiaat,37,GL,1559453149,80,68.71,-52.87,31.33,0.98
470,Iqaluit,20,CA,1559453151,74,63.75,-68.52,33.8,4.7
471,Panguna,100,PG,1559453152,84,-6.32,155.48,82.09,15.35
472,Port Hueneme,90,US,1559453153,87,34.15,-119.2,61.0,3.36
473,Mortka,84,RU,1559453155,87,59.33,66.02,54.73,4.99
474,Varhaug,75,NO,1559453156,81,58.61,5.65,53.6,9.17
475,Mehamn,100,NO,1559453158,88,71.03,27.85,37.45,18.25
476,Meiktila,21,MM,1559453110,41,20.88,95.86,94.69,8.01
477,Joshimath,1,IN,1559453160,18,30.57,79.57,73.27,4.25
478,Zhezkazgan,13,KZ,1559453161,30,47.8,67.71,82.4,4.47
479,Rzeszow,0,PL,1559452885,87,50.04,22.0,66.0,4.7
480,Warrington,0,GB,1559453164,72,53.39,-2.59,63.0,9.17
481,Matara,9,PE,1559453166,88,-13.74,-72.9,31.33,1.79
482,Pisco,90,PE,1559453167,77,-13.71,-76.2,64.4,4.7
